,UNIQUE-ID,ERXN-NUMBER,EC-NUMBER,SUBSTRATES,PRODUCTS,GIBBS
2507,RXN0-7192,['ENZRXN0-8140'],['EC-6.3.4.15'],"['BIOTIN', 'ATP', 'PROTON']","['BIO-5-AMP', 'PPI']",-45.352448
2508,RXN-11527,"['ENZRXN-22805', 'ENZRXN-18426', 'ENZRXN-18420', 'ENZRXN-13610', 'ENZRXN-14448', 'ENZRXN-14449', 'ENZRXN-14450', 'ENZRXN-14451', 'ENZRXN-14466', 'ENZRXN-16527', 'ENZRXN-17945', 'ENZRXN-17946', 'ENZRXN-17947', 'ENZRXN-17948', 'ENZRXN-17949', 'ENZRXN-17950', 'ENZRXN-17951']",['EC-4.2.3.23'],['FARNESYL-PP'],"['CPD-9006', 'PPI']",-12.449982
2509,RXN-8423,['ENZRXN-13344'],['EC-4.2.3'],['FARNESYL-PP'],"['CPD-8240', 'PPI']",-52.47998
2510,RXN-17265,['ENZRXN-24408'],['EC-3.1.2.M1'],"['C34-carboxyphthiodiolenone-PpsAE', 'WATER']","['CPD-18672', 'PpsAE-PKS-Protein', 'PROTON']",630.4323
2511,RXN-19192,['ENZRXN-26064'],['EC-6.2.1.2'],"['CPD-20688', 'CO-A', 'ATP']","['CPD-20682', 'AMP', 'PPI']",-12.71167
2512,RXN-11982,['ENZRXN-18473'],N/A,"['CPD-12950', 'OXYGEN-MOLECULE', 'NADH-P-OR-NOP', 'PROTON']","['CPD-12951', 'WATER', 'NAD-P-OR-NOP']",-109.2926
2513,RXN0-267,['ENZRXN0-7383'],['EC-1.11.1.16'],"['Red-Thioredoxin', 'HYDROGEN-PEROXIDE']","['Ox-Thioredoxin', 'WATER']",-53.66175
2514,TRANS-CINNAMATE-4-MONOOXYGENASE-RXN,['ENZRXN-1209'],['EC-1.14.14.91'],"['CPD-674', 'OXYGEN-MOLECULE', 'Red-NADPH-Hemoprotein-Reductases']","['COUMARATE', 'WATER', 'Ox-NADPH-Hemoprotein-Reductases']",-85.03476
2515,RXN-8851,['ENZRXN-14255'],['EC-2.4.1.266'],"['NDP-alpha-D-glucoses', 'G3P']","['CPD-9189', 'Nucleoside-Diphosphates', 'PROTON']",117.37012
2516,RXN-12546,N/A,N/A,"['Retinal-IRBPs', 'Aporhodopsins']","['Rhodopsins', 'IRBPs', 'WATER', 'PROTON']",N/A
2517,RXN-13970,"['ENZRXN-21664', 'ENZRXN-21658']",['EC-2.4.1.299'],"['CPD1F-766', 'CPD-15006']","['CPD-7138', 'VANILLATE']",1.799942
2518,BUTANAL-DEHYDROGENASE-RXN,"['ENZRXN-18148', 'ENZRXN-141']",['EC-1.2.1.57'],"['BUTANAL', 'CO-A', 'NAD-P-OR-NOP']","['BUTYRYL-COA', 'NADH-P-OR-NOP', 'PROTON']",-19.20935
2519,RXN-17192,"['ENZRXN-24659', 'ENZRXN-24352']",['EC-2.3.1'],"['AcDMPT-PhsA', 'L-Alanyl-PhsB']","['AcDMPT-L-Alanyl-PhsB', 'PhsA', 'PROTON']",4.3570557
2520,RXN-16881,['ENZRXN-24031'],N/A,"['E-11-methyl-12-octadec-12-enoate-lipid', 'OXYGEN-MOLECULE', 'Acceptor']","['epoxy-11-methyl-octadecadienoate-lipid', 'WATER', 'Donor-H2']",N/A
2521,RXN-14426,N/A,['EC-1.14.20'],"['CPD-11940', '2-KETOGLUTARATE', 'OXYGEN-MOLECULE']","['CPD-7096', 'SUC', 'CARBON-DIOXIDE', 'WATER']",-146.793
2522,RXN-9789,"['ENZRXN0-6599', 'ENZRXN-19535']",['EC-2.7.7.73'],"['Thi-S', 'ATP', 'PROTON']","['Adenylated-ThiS-Proteins', 'PPI']",-168.60596
2523,ETHAMLY-RXN,['ETHAMLY-ENZRXN'],['EC-4.3.1.7'],['ETHANOL-AMINE'],"['AMMONIUM', 'ACETALD']",-7.850006
2524,RXN-19666,['ENZRXN-26440'],['EC-4.2.1.M21'],['CPD-725'],"['CPD-21301', 'WATER']",-1.1070251
2525,RXN-12077,['ENZRXN-18642'],['EC-1.2.7.10'],"['OXALATE', 'Oxidized-ferredoxins']","['CARBON-DIOXIDE', 'Reduced-ferredoxins']",-20.299408
2526,RXN-17391,"['ENZRXN0-8099', 'ENZRXN0-8097', 'ENZRXN0-8108', 'ENZRXN0-8100', 'ENZRXN0-8103', 'ENZRXN0-8533', 'ENZRXN0-8109']",['EC-4.2.2.M4'],['CPD-17989'],"['CPD-17989', 'CPD0-1080']",-39.59436
2527,RXN-12458,"['ENZRXN0-6184', 'ENZRXN-23024']",['EC-2.1.1.228'],"['S-ADENOSYLMETHIONINE', 'Guanine37-in-tRNA']","['tRNA-Containing-N1-Methylguanine-37', 'ADENOSYL-HOMO-CYS', 'PROTON']",-27.282257
2528,RXN-9658,"['ENZRXN0-7439', 'ENZRXN1G-529', 'ENZRXN-15248']",['EC-1.3.1.9'],"['Hexanoyl-ACPs', 'NAD']","['Hex-2-enoyl-ACPs', 'NADH', 'PROTON']",34.414062
2529,R103-RXN,['ENZRXN-3123'],['EC-4.2.1.108'],['N-ACETYL-L-24-DIAMINOBUTANOATE'],"['ECTOINE', 'WATER']",-2.9970016
2530,RXN-9369,N/A,N/A,"['CPD-9977', 'NADP']","['CPD-9978', 'NADPH', 'PROTON']",-0.25650024
2531,RXN-11762,['ENZRXN-18276'],N/A,"['OH-ACYL-ACP', 'WATER']","['3-3-HAAs', 'ACP', 'PROTON']",-20.25824
2532,RXN-20136,['ENZRXN-26760'],['|EC-1.14.15.ac|'],"['14-alpha-methylsteroids', 'OXYGEN-MOLECULE', 'Reduced-ferredoxins', 'PROTON']","['Delta-14-steroids', 'FORMATE', 'WATER', 'Oxidized-ferredoxins']",-208.51234
2533,RXN-12931,['ENZRXN-19921'],['EC-2.1.1'],"['S-ADENOSYLMETHIONINE', 'CPD-13381']","['ADENOSYL-HOMO-CYS', 'CPD-13958', 'PROTON']",-20.330078
2534,RXN-17020,['ENZRXN0-7992'],['EC-2.3.1.51'],"['Palmitoleoyl-ACPs', 'CPD-18379']","['CPD-18380', 'ACP']",283.98135
2535,2.3.1.116-RXN,N/A,['EC-2.3.1.116'],"['Flavonol-3-O-B-D-Glucosides', 'MALONYL-COA', 'PROTON']","['Flavonol-3-O-6-O-Malonyl-B-D-Glu', 'CO-A']",-3.7017212
2536,RXN-13833,"['ENZRXN-21059', 'ENZRXN-21058']",N/A,['Apo-FeFe-hydrogenase-Subunits'],['Active-FeFe-hydrogenase-Subunits'],N/A
2537,RXN-9891,['ENZRXN-15710'],['EC-1.3.1.32'],"['CPD-19732', 'NAD-P-OR-NOP']","['CPD-10637', 'NADH-P-OR-NOP', 'PROTON']",4.310608
2538,RXN-9594,['ENZRXN-15160'],['EC-2.3.1'],"['Amino-Hydroxybenzoyl-Acps', 'D-METHYL-MALONYL-COA', 'MALONYL-COA', 'NADPH', 'PROTON']","['Rifamycin-Tetraketide-Acps', 'CO-A', 'NADP', 'CARBON-DIOXIDE']",-105.69531
2539,RXN-14862,['ENZRXN-22075'],['EC-4.1.1'],"['CPD-15542', 'PROTON', 'OXYGEN-MOLECULE', 'Donor-H2']","['CPD-15784', 'CARBON-DIOXIDE', 'WATER', 'Acceptor']",N/A
2540,RXN-11332,"['ENZRXN-17642', 'ENZRXN-17641', 'ENZRXN-17640']",['EC-1.1.2.7'],"['Primary-Alcohols', 'Cytochromes-CL-Ox']","['Aldehydes', 'Cytochromes-CL-Red', 'PROTON']",13.458717
2541,IODIDE-PEROXIDASE-RXN,N/A,['EC-1.11.1.8'],"['CPD-387', 'HYDROGEN-PEROXIDE', 'PROTON']","['IODINE-MOLECULE', 'WATER']",-61.065758
2542,RXN-11250,N/A,N/A,['CPD-12204'],['CPD-12201'],-46.001175
2543,RXN-17838,['ENZRXN-24922'],['EC-1.14.15.M5'],"['CPD-9415', 'OXYGEN-MOLECULE', 'Reduced-ferredoxins', 'PROTON']","['NOCARDICIN-A', 'WATER', 'Oxidized-ferredoxins']",-185.37158
2544,RXN-15357,['ENZRXN-22617'],['EC-1.1.1'],"['CORTISOL', 'NADH', 'PROTON']","['CPD-16568', 'NAD']",-1.0817719
2545,RXN-16916,['ENZRXN-24075'],['EC-1.2.98'],"['2-hydroxy-3-oxopropanoyl-ACP', 'FAD', 'WATER']","['Hydroxymalonyl-ACP', 'FADH2']",22.382263
2546,RXN-10608,['ENZRXN-16629'],['EC-2.4.1.17'],"['UDP-GLUCURONATE', 'L-THYROXINE']","['CPD-11401', 'UDP', 'PROTON']",5.935852
2547,RXN-5502,['ENZRXN-7743'],N/A,['CPD-5421'],"['BIOCHANIN-A', 'WATER']",-16.406998
2548,RXN-9536,"['ENZRXN1G-802', 'ENZRXN-15235']","['EC-2.3.1.86', 'EC-2.3.1.85', 'EC-1.1.1.100']","['R-3-hydroxymyristoyl-ACPs', 'NADP']","['3-oxo-myristoyl-ACPs', 'NADPH', 'PROTON']",20.375732
2549,RXN-18271,['ENZRXN-25339'],['EC-2.4.1.92'],"['CPD-14795', 'Lactosyl-Ceramides']","['CPD-19630', 'PROTON', 'UDP']",-126.62714
2550,RXN-1347,N/A,N/A,"['CIS-3-HEXENOL', 'NAD']","['CIS-3-HEXENAL', 'NADH', 'PROTON']",2.5417938
