,entry,product
246,2.1.1.70,"['C01864', 'C00841']"
247,2.1.1.95,"['C02477', 'C14152', 'C14153', 'C14154', 'C02483', 'C14151', 'C14155', 'C14156']"
248,2.1.1.98,"['C01573', 'C04692', 'C16720', 'C04441', 'C04692', 'C16720']"
249,2.1.1.107,"['C02463', 'C15527', 'C01051', 'C15527']"
250,2.1.1.110,"['C03686', 'C03944', 'C00961', 'C20445']"
251,2.1.1.132,"['C06408', 'C06319']"
252,2.1.1.137,"['C07294', 'C07308', 'C06697', 'C07295']"
253,2.1.1.156,"['C01026', 'C00213', 'C00037', 'C00213']"
254,2.1.1.157,"['C00719', 'C01026', 'C00213', 'C01026']"
255,2.1.1.160,"['C07481', 'C07480', 'C07480', 'C13747', 'C16353']"
256,2.1.1.162,"['C00719', 'C00213', 'C01026', 'C00037', 'C00213', 'C01026']"
257,2.1.1.169,"['C19807', 'C19739', 'C10193', 'C10192', 'C19739', 'C10193']"
258,2.1.1.175,"['C10193', 'C19739', 'C10192', 'C19739']"
259,2.1.1.192,"['C00073', 'C05198']"
260,2.1.1.200,NA
261,2.1.1.202,NA
262,2.1.1.207,NA
263,2.1.1.213,NA
264,2.1.1.225,NA
265,2.1.1.240,"['C10287', 'C20154', 'C03582', 'C20154']"
266,2.1.1.244,NA
267,2.1.1.251,"['C03920', 'C00283', 'C00409', 'C03576']"
268,2.1.1.254,"['C01912', 'C06653', 'C06616', 'C06633']"
269,2.1.1.262,"['C20412', 'C20411', 'C00751', 'C20411']"
270,2.1.1.263,"['C20435', 'C20433', 'C20434', 'C20432', 'C20433', 'C20434']"
271,2.1.1.267,['C02790']
272,2.1.1.268,NA
273,2.1.1.279,"['C10428', 'C10478', 'C20464', 'C10469']"
274,2.1.1.291,"['C20712', 'C09555', 'C02105', 'C05178']"
275,2.1.1.295,"['C16695', 'C15882', 'C17570', 'C20737']"
276,2.1.1.316,"['C21161', 'C21162', 'C21163', 'C21164']"
277,2.1.1.319,"['C21188', 'C04143', 'C00613', 'C04143']"
278,2.1.1.320,"['C21189', 'C04143', 'C00613', 'C04143']"
279,2.1.1.324,"['C18034', 'C21395', 'C18033', 'C21395']"
280,2.1.1.325,"['C16503', 'C09694', 'C16502', 'C16504']"
281,2.1.1.332,"['C21428', 'C21429', 'C21427', 'C21428']"
282,2.1.1.335,"['C21436', 'C02811', 'C06654', 'C21436']"
283,2.1.1.337,"['C21491', 'C09581', 'C02105', 'C17591']"
284,2.1.1.340,"['C08304', 'C21602', 'C21601', 'C21602']"
285,2.1.1.341,"['C00230', 'C00440', 'C01424', 'C06672', 'C00101', 'C05616']"
286,2.1.1.343,"['C21647', 'C21648', 'C21646', 'C21648']"
287,2.1.1.344,"['C21675', 'C21673', 'C21674', 'C21672', 'C21673', 'C21674']"
288,2.1.1.345,"['C07576', 'C21779', 'C21778', 'C21779']"
289,2.1.1.349,"['C21957', 'C16789', 'C21956', 'C21957']"
290,2.1.1.350,"['C00073', 'C05198', 'C22027', 'C22028', 'C00828', 'C05818']"
291,2.1.5.1,"['C21801', 'C00143', 'C21802', 'C10882', 'C00101', 'C21801']"
292,2.2.1.11,"['C00118', 'C16848', 'C00577', 'C00546', 'C00354', 'C01094']"
293,2.3.1.111,['C02557']
294,2.3.1.156,"['C07350', 'C07351', 'C02939', 'C00083']"
295,2.3.1.218,"['C17741', 'C17740', 'C00406', 'C00083', 'C00223']"
296,2.3.1.219,"['C17742', 'C17743', 'C00223', 'C17741', 'C17740']"
297,2.3.1.224,"['C15513', 'C12299', 'C00024', 'C00556', 'C02394']"
298,2.3.1.230,"['C20643', 'C21490', 'C01944', 'C21453', 'C21490']"
299,2.3.1.251,"['C04233', 'C21194', 'C22002', 'C21982', 'C03889', 'C21193', 'C19884', 'C04919']"
300,2.3.1.254,['C00024']
301,2.3.1.255,"['C00024', 'C02038']"
302,2.3.1.256,['C00024']
303,2.3.1.257,['C00024']
304,2.3.1.258,['C00024']
305,2.3.1.261,['C00083']
306,2.3.1.262,"['C21452', 'C02247', 'C00083']"
307,2.3.1.265,"['C21608', 'C21609', 'C00040', 'C21607']"
308,2.3.2.1,"['C00819', 'C00217', 'C00064']"
309,2.3.2.6,"['C01645', 'C21387', 'C21386', 'C02047', 'C21388', 'C16739']"
310,2.3.2.24,NA
311,2.3.2.25,NA
312,2.3.2.26,NA
313,2.3.2.29,"['C01645', 'C21455', 'C21457', 'C02047', 'C21456', 'C21458']"
314,2.3.2.31,NA
315,2.4.1.41,"['C00203', 'C02189', 'C19803']"
316,2.4.1.109,"['C00110', 'C20722', 'C03862']"
317,2.4.1.125,"['C00095', 'C00089']"
318,2.4.1.175,"['C04913', 'C00203', 'C04800']"
319,2.4.1.195,"['C01069', 'C21872', 'C16517', 'C00029', 'C03719', 'C21871', 'C16516']"
320,2.4.1.202,"['C04831', 'C15772', 'C00029', 'C04720', 'C15770']"
321,2.4.1.212,"['C00043', 'C00167']"
322,2.4.1.226,"['C04800', 'C00167']"
323,2.4.1.249,"['C16303', 'C16304', 'C00029', 'C16301', 'C16304']"
324,2.4.1.255,"['C19802', 'C19804', 'C00043', 'C02189', 'C19803']"
325,2.4.1.271,"['C19867', 'C19868', 'C17513', 'C00029', 'C08588', 'C19867', 'C19869']"
326,2.4.1.286,"['C16407', 'C16408', 'C00029', 'C06561', 'C15525']"
327,2.4.1.287,"['C03733', 'C20416']"
328,2.4.1.301,"['C01822', 'C00825', 'C01823', 'C20614', 'C12211', 'C20350', 'C01441', 'C01743', 'C20353']"
329,2.4.1.315,"['C06040', 'C20860', 'C00029', 'C04046', 'C06040']"
330,2.4.1.330,"['C19869', 'C17513', 'C08589', 'C00029', 'C19867', 'C19868', 'C17513']"
331,2.4.1.346,"['C00035', 'C21607', 'C21608', 'C00096', 'C21609']"
332,2.4.2.1,"['C15587', 'C00620', 'C00672', 'C15586', 'C20463']"
333,2.4.2.2,"['C00106', 'C00620', 'C00178', 'C00672', 'C00299', 'C00214', 'C00526']"
334,2.4.2.29,"['C00242', 'C01449', 'C16675']"
335,2.4.2.43,"['C19890', 'C17556', 'C19884', 'C16157', 'C06026', 'C04919']"
336,2.4.2.57,"['C00147', 'C01151', 'C00380', 'C00106', 'C00055', 'C00105']"
337,2.4.99.20,"['C13051', 'C00153', 'C20742', 'C00253', 'C20742']"
338,2.5.1.3,"['C01081', 'C04752', 'C20246', 'C20247', 'C04327']"
339,2.5.1.17,"['C00536', 'C00194', 'C03161', 'C06506', 'C00541', 'C03024', 'C06504']"
340,2.5.1.21,"['C00751', 'C03428', 'C00448', 'C03428']"
341,2.5.1.32,"['C05421', 'C03427', 'C00353', 'C03427']"
342,2.5.1.36,"['C15509', 'C15510', 'C00235', 'C01263']"
343,2.5.1.44,"['C06366', 'C00986', 'C00134', 'C00315']"
344,2.5.1.46,"['C07282', 'C00986', 'C15853', 'C15854', 'C15854', 'C07281', 'C07281', 'C00315', 'C15853', 'C07281', 'C15854', 'C15854']"
345,2.5.1.96,"['C16144', 'C03428', 'C00448', 'C03428']"
346,2.5.1.112,"['C16426', 'C16424', 'C00235']"
347,2.5.1.128,"['C00170', 'C21010', 'C21009', 'C00315', 'C01137', 'C21009']"
348,2.5.1.137,"['C21500', 'C21501', 'C00235', 'C21499', 'C21500']"
